statement,label,city,country,correct_country,question,question_with_answer
The city of Meknes is in China.,0,Meknes,China,Morocco,In which country is the city of Meknes located?,In which country is the city of Meknes located? China.
The city of Antananarivo is in Madagascar.,1,Antananarivo,Madagascar,Madagascar,In which country is the city of Antananarivo located?,In which country is the city of Antananarivo located? Madagascar.
The city of Antananarivo is in Germany.,0,Antananarivo,Germany,Madagascar,In which country is the city of Antananarivo located?,In which country is the city of Antananarivo located? Germany.
The city of Kalyan is in India.,1,Kalyan,India,India,In which country is the city of Kalyan located?,In which country is the city of Kalyan located? India.
The city of Kalyan is in South Korea.,0,Kalyan,South Korea,India,In which country is the city of Kalyan located?,In which country is the city of Kalyan located? South Korea.
The city of Jaipur is in India.,1,Jaipur,India,India,In which country is the city of Jaipur located?,In which country is the city of Jaipur located? India.
The city of Jaipur is in China.,0,Jaipur,China,India,In which country is the city of Jaipur located?,In which country is the city of Jaipur located? China.
The city of Guntur is in India.,1,Guntur,India,India,In which country is the city of Guntur located?,In which country is the city of Guntur located? India.
The city of Guntur is in China.,0,Guntur,China,India,In which country is the city of Guntur located?,In which country is the city of Guntur located? China.
The city of Bhilai is in India.,1,Bhilai,India,India,In which country is the city of Bhilai located?,In which country is the city of Bhilai located? India.
The city of Bhilai is in Venezuela.,0,Bhilai,Venezuela,India,In which country is the city of Bhilai located?,In which country is the city of Bhilai located? Venezuela.
The city of Bhavnagar is in India.,1,Bhavnagar,India,India,In which country is the city of Bhavnagar located?,In which country is the city of Bhavnagar located? India.
The city of Bhavnagar is in Japan.,0,Bhavnagar,Japan,India,In which country is the city of Bhavnagar located?,In which country is the city of Bhavnagar located? Japan.
The city of Amravati is in India.,1,Amravati,India,India,In which country is the city of Amravati located?,In which country is the city of Amravati located? India.
The city of Amravati is in China.,0,Amravati,China,India,In which country is the city of Amravati located?,In which country is the city of Amravati located? China.
The city of Shiraz is in Iran.,1,Shiraz,Iran,Iran,In which country is the city of Shiraz located?,In which country is the city of Shiraz located? Iran.
The city of Shiraz is in China.,0,Shiraz,China,Iran,In which country is the city of Shiraz located?,In which country is the city of Shiraz located? China.
The city of Lome is in Togo.,1,Lome,Togo,Togo,In which country is the city of Lome located?,In which country is the city of Lome located? Togo.
The city of Lome is in Yemen.,0,Lome,Yemen,Togo,In which country is the city of Lome located?,In which country is the city of Lome located? Yemen.
The city of Erzurum is in Turkey.,1,Erzurum,Turkey,Turkey,In which country is the city of Erzurum located?,In which country is the city of Erzurum located? Turkey.
The city of Erzurum is in the Democratic Republic of the Congo.,0,Erzurum,the Democratic Republic of the Congo,Turkey,In which country is the city of Erzurum located?,In which country is the city of Erzurum located? the Democratic Republic of the Congo.
The city of Seattle is in the United States.,1,Seattle,the United States,the United States,In which country is the city of Seattle located?,In which country is the city of Seattle located? the United States.
The city of Seattle is in Yemen.,0,Seattle,Yemen,the United States,In which country is the city of Seattle located?,In which country is the city of Seattle located? Yemen.
The city of Barquisimeto is in Venezuela.,1,Barquisimeto,Venezuela,Venezuela,In which country is the city of Barquisimeto located?,In which country is the city of Barquisimeto located? Venezuela.
The city of Barquisimeto is in Poland.,0,Barquisimeto,Poland,Venezuela,In which country is the city of Barquisimeto located?,In which country is the city of Barquisimeto located? Poland.
The city of Kryvyy Rih is in Ukraine.,1,Kryvyy Rih,Ukraine,Ukraine,In which country is the city of Kryvyy Rih located?,In which country is the city of Kryvyy Rih located? Ukraine.
The city of Kryvyy Rih is in China.,0,Kryvyy Rih,China,Ukraine,In which country is the city of Kryvyy Rih located?,In which country is the city of Kryvyy Rih located? China.
The city of Krasnoyarsk is in Russia.,1,Krasnoyarsk,Russia,Russia,In which country is the city of Krasnoyarsk located?,In which country is the city of Krasnoyarsk located? Russia.
The city of Krasnoyarsk is in India.,0,Krasnoyarsk,India,Russia,In which country is the city of Krasnoyarsk located?,In which country is the city of Krasnoyarsk located? India.
The city of Quzhou is in China.,1,Quzhou,China,China,In which country is the city of Quzhou located?,In which country is the city of Quzhou located? China.
The city of Quzhou is in Vietnam.,0,Quzhou,Vietnam,China,In which country is the city of Quzhou located?,In which country is the city of Quzhou located? Vietnam.
The city of Pingliang is in China.,1,Pingliang,China,China,In which country is the city of Pingliang located?,In which country is the city of Pingliang located? China.
The city of Pingliang is in Tanzania.,0,Pingliang,Tanzania,China,In which country is the city of Pingliang located?,In which country is the city of Pingliang located? Tanzania.
The city of Puning is in China.,1,Puning,China,China,In which country is the city of Puning located?,In which country is the city of Puning located? China.
The city of Puning is in India.,0,Puning,India,China,In which country is the city of Puning located?,In which country is the city of Puning located? India.
The city of Huzhou is in China.,1,Huzhou,China,China,In which country is the city of Huzhou located?,In which country is the city of Huzhou located? China.
The city of Huzhou is in Germany.,0,Huzhou,Germany,China,In which country is the city of Huzhou located?,In which country is the city of Huzhou located? Germany.
The city of Chizhou is in China.,1,Chizhou,China,China,In which country is the city of Chizhou located?,In which country is the city of Chizhou located? China.
The city of Chizhou is in the Republic of the Congo.,0,Chizhou,the Republic of the Congo,China,In which country is the city of Chizhou located?,In which country is the city of Chizhou located? the Republic of the Congo.
The city of Chengdu is in China.,1,Chengdu,China,China,In which country is the city of Chengdu located?,In which country is the city of Chengdu located? China.
The city of Chengdu is in South Korea.,0,Chengdu,South Korea,China,In which country is the city of Chengdu located?,In which country is the city of Chengdu located? South Korea.
The city of Cangzhou is in China.,1,Cangzhou,China,China,In which country is the city of Cangzhou located?,In which country is the city of Cangzhou located? China.
The city of Cangzhou is in Germany.,0,Cangzhou,Germany,China,In which country is the city of Cangzhou located?,In which country is the city of Cangzhou located? Germany.
The city of Samarinda is in Indonesia.,1,Samarinda,Indonesia,Indonesia,In which country is the city of Samarinda located?,In which country is the city of Samarinda located? Indonesia.
The city of Samarinda is in Iraq.,0,Samarinda,Iraq,Indonesia,In which country is the city of Samarinda located?,In which country is the city of Samarinda located? Iraq.
The city of Helsinki is in Finland.,1,Helsinki,Finland,Finland,In which country is the city of Helsinki located?,In which country is the city of Helsinki located? Finland.
The city of Helsinki is in Pakistan.,0,Helsinki,Pakistan,Finland,In which country is the city of Helsinki located?,In which country is the city of Helsinki located? Pakistan.
The city of Khabarovsk Vtoroy is in Russia.,1,Khabarovsk Vtoroy,Russia,Russia,In which country is the city of Khabarovsk Vtoroy located?,In which country is the city of Khabarovsk Vtoroy located? Russia.
The city of Khabarovsk Vtoroy is in China.,0,Khabarovsk Vtoroy,China,Russia,In which country is the city of Khabarovsk Vtoroy located?,In which country is the city of Khabarovsk Vtoroy located? China.
The city of Wroclaw is in Poland.,1,Wroclaw,Poland,Poland,In which country is the city of Wroclaw located?,In which country is the city of Wroclaw located? Poland.
The city of Wroclaw is in Mexico.,0,Wroclaw,Mexico,Poland,In which country is the city of Wroclaw located?,In which country is the city of Wroclaw located? Mexico.
The city of Oslo is in Norway.,1,Oslo,Norway,Norway,In which country is the city of Oslo located?,In which country is the city of Oslo located? Norway.
The city of Oslo is in Venezuela.,0,Oslo,Venezuela,Norway,In which country is the city of Oslo located?,In which country is the city of Oslo located? Venezuela.
The city of Caloocan City is in the Philippines.,1,Caloocan City,the Philippines,the Philippines,In which country is the city of Caloocan City located?,In which country is the city of Caloocan City located? the Philippines.
